Rt,temp_tip,temp_ceramic,temp_flange,Relay
12:54:52,-8.11048,1.5376304,13.212313,10
12:55:04,-8.622917,1.2067701,13.045462,10
12:55:16,-9.091743,0.9783786,12.885364,10
12:55:28,-9.218985,1.2420398,12.723585,10
12:55:40,-9.737944,0.7164287,12.578666,10
12:55:52,-10.213307,0.3132549,12.415217,10
12:56:04,-10.840882,-0.36075586,12.2500925,10
12:56:16,-11.292663,-0.666255,12.084976,10
12:56:27,-11.823006,-0.9012359,11.908073,10
12:56:39,-12.314795,-1.1429136,11.739607,10
12:56:51,-12.761356,-1.2620671,11.581252,10
12:57:03,-13.164377,-1.6060778,11.407745,10
12:57:15,-13.582397,-2.0087798,11.244353,10
12:57:27,-14.052188,-2.325874,11.079288,10
12:57:39,-14.520244,-2.584224,10.910858,10
12:57:51,-14.859541,-2.8878417,10.742438,10
12:58:03,-15.322464,-3.2652333,10.577397,10
12:58:15,-15.539698,-2.6949291,10.41236,10
12:58:26,-16.197994,-3.5872345,10.247335,10
12:58:38,-16.650707,-4.0165315,10.068845,10
12:58:50,-17.120052,-4.358584,9.880262,10
12:59:02,-17.587666,-4.678809,9.696741,10
12:59:14,-18.03517,-4.9788866,9.523333,10
12:59:26,-18.450901,-5.436492,9.33983,10
12:59:38,-18.739702,-5.7130365,9.174856,10
12:59:50,-19.335596,-6.0666494,9.003157,10
13:00:02,-19.59929,-6.142059,8.834833,10
13:00:14,-20.186672,-6.539187,8.653051,10
13:00:25,-20.69889,-6.9831786,8.478012,10
13:00:37,-21.172653,-7.2126913,8.3113985,10
13:00:49,-21.612984,-7.457261,8.136377,10
13:01:01,-22.146646,-7.7487154,7.9462194,10
13:01:13,-22.625196,-8.082011,7.7628036,10
13:01:25,-23.025326,-8.4839325,7.5827637,10
13:01:37,-23.395393,-8.76692,7.404415,10
13:01:49,-23.853758,-9.146995,7.2311234,10
13:02:01,-24.297054,-9.475127,7.076346,10
13:02:12,-24.731958,-9.875204,6.901389,10
13:02:24,-25.195126,-10.139667,6.729805,10
13:02:36,-25.626577,-10.494476,6.553183,10
13:02:48,-26.096268,-10.896105,6.3917093,10
13:03:00,-26.504284,-10.881044,6.220152,10
13:03:12,-26.923895,-11.287645,6.031784,10
13:03:24,-27.471643,-11.680811,5.856881,10
13:03:36,-27.906109,-11.926723,5.676942,10
13:03:48,-28.350498,-12.309778,5.4919677,10
13:03:59,-28.736584,-12.522197,5.320456,10
13:04:11,-29.20082,-12.861697,5.13382,10
13:04:23,-29.698261,-13.16438,4.96737,10
13:04:35,-30.119106,-13.547289,4.7790713,10
13:04:47,-30.56651,-13.836531,4.602553,10
13:04:59,-30.992218,-14.135778,4.419319,10
13:05:11,-31.4528,-14.3932085,4.2411366,10
13:05:23,-31.91829,-14.660647,4.0747304,10
13:05:34,-32.342155,-15.035025,3.9032903,10
13:05:46,-32.807514,-15.412704,3.7402618,10
13:05:58,-33.30271,-15.690082,3.5604358,10
13:06:10,-33.661594,-16.004194,3.3839798,10
13:06:22,-34.126747,-16.273176,3.2108943,10
13:06:34,-34.57356,-16.553822,3.0394979,10
13:06:46,-34.983772,-16.958042,2.861389,10
13:06:58,-35.319218,-17.303766,2.713532,11
13:07:10,-35.59152,-17.594347,2.5388005,11
13:07:21,-35.740955,-17.651123,2.3691177,11
13:07:33,-35.890373,-18.025156,2.2296822,11
13:07:45,-35.993305,-18.172085,2.0717742,11
13:07:57,-36.05639,-18.37243,1.9273117,11
13:08:09,-36.10619,-18.337372,1.7794956,11
13:08:21,-36.152668,-18.616175,1.6216084,11
13:08:33,-36.13441,-18.778101,1.45869,11
13:08:45,-36.1593,-18.881596,1.2991385,11
13:08:57,-36.14602,-18.881596,1.134556,11
13:09:09,-36.15101,-19.048513,1.010285,11
13:09:20,-36.11781,-19.063538,0.90616953,11
13:09:32,-36.092903,-19.130302,0.7886236,11
