Real time	Capacitance

0:00:01.703183	0.45955
0:00:02.001127	0.45643
0:00:02.299118	0.45487
0:00:02.596813	0.45643
0:00:02.894105	0.45799
0:00:03.195346	0.45799
0:00:03.494471	0.45643
0:00:03.805283	0.45799
0:00:04.309475	0.45799
0:00:04.607340	0.45643
0:00:04.904216	0.45799
0:00:05.201247	0.45487
0:00:05.500206	0.45643
0:00:05.797997	0.45799
0:00:06.094452	0.45955
0:00:06.393045	0.45799
0:00:06.691510	0.45799
0:00:06.988806	0.45799
0:00:07.286683	0.45799
0:00:07.585829	0.45643
0:00:07.885212	0.45643
0:00:08.181923	0.45643
0:00:08.479908	0.45643
0:00:08.777909	0.45799
0:00:09.076806	0.45643
0:00:09.375258	0.45955
0:00:09.673071	0.45799
0:00:09.971143	0.45799
0:00:10.268273	0.45955
0:00:10.567460	0.45799
0:00:10.864818	0.45643
0:00:11.162712	0.45799
0:00:11.462497	0.45799
0:00:11.761144	0.45799
0:00:12.060277	0.45799
0:00:12.365801	0.45799
0:00:12.677266	0.45643
0:00:12.986640	0.46112
0:00:13.294793	0.45643
