Real time	Capacitance

0:00:01.748428	0.51114
0:00:01.962591	0.51114
0:00:02.164784	0.5127
0:00:02.374358	0.5127
0:00:02.583446	0.51426
0:00:02.792338	0.50957
0:00:03.005113	0.5127
0:00:03.214067	0.5127
0:00:03.631880	0.51114
0:00:03.844934	0.51583
0:00:04.053823	0.51426
0:00:04.283031	0.51114
0:00:04.484642	0.51114
0:00:04.686104	0.50957
0:00:04.893346	0.50957
0:00:05.102354	0.51114
0:00:05.315128	0.50957
0:00:05.524076	0.51114
0:00:05.732983	0.51114
0:00:05.945890	0.51114
0:00:06.154944	0.51114
0:00:06.369042	0.50957
0:00:06.589453	0.50957
0:00:06.793224	0.50957
0:00:06.995929	0.50957
0:00:07.203487	0.50801
0:00:07.416387	0.51426
0:00:07.625259	0.5127
0:00:07.834157	0.51114
0:00:08.042991	0.50957
0:00:08.256068	0.5127
0:00:08.464856	0.51114
0:00:08.673748	0.5127
0:00:08.882646	0.51426
