Real time	Capacitance

0:00:02.136228	0.45487
0:00:02.664343	0.4533
0:00:03.185147	0.45799
0:00:03.701029	0.45643
0:00:04.231195	0.45487
0:00:04.745442	0.45174
0:00:05.282695	0.45487
0:00:05.786547	0.45643
0:00:06.693578	0.45487
0:00:07.213598	0.45174
0:00:07.740140	0.46112
0:00:08.269194	0.45174
0:00:08.787231	0.45174
0:00:09.306741	0.4533
0:00:09.819916	0.45799
0:00:10.327781	0.45487
0:00:10.844613	0.45487
0:00:11.352800	0.44392
0:00:11.857344	0.45487
0:00:12.361005	0.45018
0:00:12.866693	0.45174
0:00:13.368464	0.45487
0:00:13.878402	0.4533
0:00:14.409874	0.45174
0:00:14.951040	0.46737
0:00:15.467004	0.45487
0:00:15.973001	0.45018
0:00:16.475954	0.45174
0:00:16.980284	0.45487
0:00:17.488995	0.45174
0:00:18.002257	0.4533
0:00:18.538353	0.45174
0:00:19.058864	0.45018
0:00:19.581192	0.4533
0:00:20.090531	0.45018
0:00:20.611867	0.45643
0:00:21.122225	0.45487
0:00:21.635691	0.4533
0:00:22.142916	0.4533
0:00:22.653654	0.45018
0:00:23.170829	0.4533
0:00:23.702555	0.4533
0:00:24.271485	0.4533
0:00:24.845652	0.45643
0:00:25.396361	0.45018
0:00:25.925048	0.45174
0:00:26.446929	0.4533
0:00:26.974811	0.45487
0:00:27.573255	0.45643
0:00:28.088601	0.45174
0:00:28.609457	0.4533
0:00:29.141252	0.43767
0:00:29.799959	0.4533
0:00:30.333678	0.4533
0:00:30.939734	0.45487
0:00:31.463547	0.45487
0:00:32.096303	0.45487
0:00:32.600656	0.4533
0:00:33.106422	0.45487
0:00:33.619410	0.4533
0:00:34.134783	0.45174
0:00:34.643548	0.46581
0:00:35.140698	0.45799
0:00:35.645063	0.45174
0:00:36.149125	0.4533
0:00:36.655039	0.45799
0:00:37.169714	0.45955
0:00:37.674647	0.45487
0:00:38.182769	0.46112
0:00:38.702684	0.45174
0:00:39.262595	0.4533
0:00:39.793810	0.45643
0:00:40.321528	0.45643
0:00:40.874289	0.44861
0:00:41.398252	0.45174
0:00:41.954297	0.45799
0:00:42.472850	0.45018
0:00:43.168829	0.45174
0:00:43.689350	0.45487
0:00:44.257442	0.45487
0:00:44.783542	0.45487
0:00:45.294215	0.45487
0:00:45.826547	0.45487
0:00:46.351125	0.4533
0:00:46.870151	0.45018
0:00:47.427467	0.45643
0:00:47.992880	0.45174
0:00:48.532548	0.45018
0:00:49.041365	0.4533
0:00:49.543360	0.45018
0:00:50.042683	0.45487
0:00:50.563547	0.45487
0:00:51.177892	0.45174
0:00:51.700985	0.45018
0:00:52.217508	0.4533
0:00:52.727425	0.45487
0:00:53.270191	0.45487
0:00:53.781106	0.4533
0:00:54.290988	0.4533
0:00:54.792474	0.45799
0:00:55.307630	0.4533
0:00:55.807021	0.45174
0:00:56.308403	0.45487
0:00:56.812684	0.4533
0:00:57.314599	0.45487
0:00:57.821311	0.45487
0:00:58.329815	0.45174
0:00:58.833628	0.4533
0:00:59.342384	0.45174
0:00:59.852715	0.45487
0:01:00.361842	0.45643
0:01:00.867499	0.45487
0:01:01.374518	0.4533
0:01:01.879231	0.44705
0:01:02.387145	0.4533
