Rt,temp_tip,temp_ceramic,temp_flange,Relay
12:09:25,19.428698,19.629635,19.742771,10
12:09:30,19.481041,19.641453,19.803562,10
12:09:35,19.506367,19.649897,19.823828,10
12:09:41,19.516499,19.653275,19.813694,10
12:09:46,19.508055,19.663404,19.806942,10
12:09:52,19.516499,19.663406,19.803562,10
12:09:58,19.516499,19.673534,19.810318,10
12:10:03,19.51312,19.675222,19.806942,10
12:10:09,19.51312,19.6786,19.818762,10
12:10:14,19.513123,19.683666,19.82045,10
12:10:20,19.519876,19.683666,19.840715,10
12:10:25,19.51312,19.68198,19.864357,10
