Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,Heat F,Heat B
17:50:40,21.953125,30.039989526721012,28.624741735537185,25.486718749999998,0,0
17:50:41,21.96484375,30.041256227355067,28.619318181818176,25.489322916666666,0,0
17:50:42,21.96875,30.038722826086953,28.608471074380162,25.499739583333334,0,0
17:50:43,21.985677083333332,30.039989526721012,28.623385847107432,25.495833333333334,0,0
17:50:44,21.985677083333332,30.043789628623184,28.624741735537185,25.499739583333334,0,0
17:50:45,21.97265625,30.038722826086953,28.616606404958674,25.495833333333334,0,0
17:50:46,21.967447916666668,30.028589221014485,28.601691632231404,25.516666666666666,0,0
17:50:47,21.966145833333332,30.034922724184778,28.601691632231404,25.514062499999998,0,0
17:50:48,21.966145833333332,30.041256227355067,28.608471074380162,25.512760416666666,0,0
17:50:49,21.970052083333332,30.04758973052536,28.60033574380165,25.498437499999998,0,0
17:50:50,21.990885416666668,30.055189934329707,28.593556301652892,25.506249999999998,0,0
17:50:51,21.998697916666668,30.069123641304344,28.58542097107438,25.489322916666666,0,0
17:50:52,22.0,30.08052394701087,28.596268078512395,25.490624999999998,0,0
17:50:53,22.001302083333332,30.090657552083332,28.60711518595041,25.498437499999998,0,0
