Rt,temp_tip,temp_ceramic,temp_flange,Relay
11:31:49,19.150105,19.494549,19.524944,11
11:32:06,19.21426,19.5013,19.528316,11
11:32:23,19.214262,19.496237,19.519875,11
11:32:40,19.188938,19.487795,19.497925,11
11:32:56,19.177118,19.474285,19.508055,11
11:33:13,19.172052,19.462467,19.497925,11
11:33:30,19.161922,19.452335,19.502989,11
11:33:47,19.168676,19.43545,19.501303,11
11:34:04,19.177118,19.435452,19.523254,11
11:34:21,19.244656,19.445581,19.573912,11
11:34:38,19.24972,19.474287,19.58573,11
11:34:55,19.229458,19.475975,19.57729,11
11:35:12,19.204132,19.474285,19.540138,11
11:35:29,19.226084,19.474285,19.541828,11
11:35:45,19.253094,19.48273,19.546894,11
11:36:02,19.24803,19.486105,19.555338,11
11:36:19,19.276731,19.49117,19.546894,11
11:36:36,19.251408,19.486107,19.541828,11
11:36:53,19.241278,19.487797,19.54014,11
11:37:10,19.246342,19.479351,19.550272,11
11:37:27,19.253098,19.481041,19.557026,11
11:37:44,19.253096,19.477665,19.560404,11
11:38:01,19.266603,19.487793,19.590796,11
11:38:18,19.383108,19.524942,19.784988,11
11:38:35,19.327387,19.53676,19.678602,11
11:38:52,19.276731,19.531696,19.621191,11
11:39:08,19.264914,19.530006,19.59755,11
11:39:25,19.236212,19.531696,19.611061,11
11:39:42,19.271667,19.533386,19.592487,11
11:39:59,19.276735,19.531696,19.578978,11
11:40:16,19.236212,19.533382,19.580667,11
11:40:33,19.22608,19.52494,19.567158,11
11:40:50,19.254784,19.533382,19.585732,11
11:41:07,19.295307,19.540138,19.604305,11
11:41:24,19.275045,19.557026,19.595861,11
11:41:41,19.285175,19.55365,19.612747,11
11:41:58,19.275043,19.562092,19.624569,11
11:42:15,19.286865,19.578978,19.622879,11
11:42:31,19.288555,19.582355,19.622879,11
11:42:48,19.283485,19.585732,19.62119,11
11:43:05,19.271667,19.58573,19.6347,11
11:43:22,19.318945,19.597551,19.626257,11
11:43:39,19.340893,19.602615,19.63301,11
11:43:56,19.35609,19.600927,19.63132,11
11:44:13,19.339207,19.604305,19.638077,11
11:44:30,19.315569,19.612747,19.639767,11
11:44:47,19.312191,19.614435,19.639767,11
11:45:04,19.32232,19.609371,19.644833,11
11:45:21,19.335827,19.621191,19.646519,11
11:45:38,19.378042,19.627945,19.651587,11
11:45:55,19.43883,19.641453,19.658339,11
11:46:11,19.394924,19.64483,19.65665,11
11:46:28,19.351025,19.631323,19.646519,11
11:46:45,19.30206,19.61106,19.651585,11
11:47:02,19.315567,19.607685,19.631323,11
11:47:19,19.324009,19.607683,19.624569,11
11:47:36,19.342583,19.589108,19.639765,11
11:47:53,19.405058,19.61106,19.69042,11
11:48:10,19.388172,19.61275,19.688732,11
11:48:27,19.35271,19.60262,19.648207,11
11:48:44,19.345959,19.595861,19.638075,11
11:49:01,19.34258,19.57898,19.622879,11
11:49:18,19.345959,19.582355,19.666782,11
11:49:35,19.366224,19.590797,19.649899,11
11:49:52,19.398304,19.5908,19.648209,11
